"utterance_id","tts_equals_spoken","english_srt_equals_spoken","english_vtt_equals_spoken","burned_english_equals_spoken","html_english_equals_spoken","japanese_debug_present","caption_onset_delta_milliseconds","caption_tail_milliseconds","english_line_count","japanese_line_count"
"cd-en-001","True","True","True","True","True","True","30","200","2","2"
"cd-en-002","True","True","True","True","True","True","30","200","2","2"
"cd-en-003","True","True","True","True","True","True","30","200","2","2"
"cd-en-004","True","True","True","True","True","True","30","200","1","1"
"cd-en-005","True","True","True","True","True","True","30","200","2","2"
"cd-en-006","True","True","True","True","True","True","30","200","2","2"
"cd-en-007","True","True","True","True","True","True","30","200","2","2"
"cd-en-008","True","True","True","True","True","True","30","200","2","2"
"cd-en-009","True","True","True","True","True","True","30","200","2","2"
"cd-en-010","True","True","True","True","True","True","30","200","2","1"
"cd-en-011","True","True","True","True","True","True","30","200","2","1"
"cd-en-012","True","True","True","True","True","True","30","200","2","2"
"cd-en-013","True","True","True","True","True","True","30","200","2","2"
"cd-en-014","True","True","True","True","True","True","30","200","2","1"
"cd-en-015","True","True","True","True","True","True","30","200","2","2"
"cd-en-016","True","True","True","True","True","True","30","200","2","2"
"cd-en-017","True","True","True","True","True","True","30","200","2","2"
"cd-en-018","True","True","True","True","True","True","30","200","2","2"
"cd-en-019","True","True","True","True","True","True","30","200","2","2"
"cd-en-020","True","True","True","True","True","True","30","200","2","2"
"cd-en-021","True","True","True","True","True","True","30","200","2","2"
"cd-en-022","True","True","True","True","True","True","30","200","2","1"
"cd-en-023","True","True","True","True","True","True","30","200","2","1"
"cd-en-024","True","True","True","True","True","True","30","200","1","1"
