style_id,speaker_name,section_id,duration_seconds,window_start_seconds,window_end_seconds,placement_start_seconds,head_margin_seconds,tail_margin_seconds,sample_rate,channels,integrated_lufs,peak_dbfs,true_peak_dbtp,clipping_count,leading_silence_seconds,trailing_silence_seconds,raw_sha256,normalized_sha256,query_sha256
10001,男声1,1,11.552,0,24,0.35,0.35,12.098,48000,1,-18.82,-1.2,-1.2,0,0.11275,0.089313,8383e7ac7ac0daced7c8970a94dfc787940cb8022e032f8ac603fb007bf58f57,4ba575ee0d96826dfcc9d2c565fd6d9baf2df2517bfdb457bef378457218140e,63fda3ef05417649040adcef4519cb4f915b9e254737268d666864ee4b2d119d
10001,男声1,2,15.093333,24,65,24.35,0.35,25.556667,48000,1,-19.39,-1.2,-1.2,0,0.120479,0.095895,1670220c1fa9b6d6675bdd42f4c45c01d4394147a41f8673457fefa0da0e7940,b99ee86d7b8a51f602c80e945ba10d8e6b29a6b2b8ff61a04ed12937b56041e4,3cfeebdc49d6a92c09cb60fd48f91d3f4a14a74b33a6820ca1eb94e156677d03
10001,男声1,3,12.309333,65,97,65.35,0.35,19.340667,48000,1,-18.85,-2.1,-2.11,0,0.116208,0.089312,30be144b89f12459e86b1b2389775081689d5efeee7f0554d97e71fd5dbe6094,1f6947f4c967e8f38e6197d6adea46fd0e436e6d364b64414f1276fdbecb1a8b,3df0374c1eb69aa58f9ec2e12c46664ee7d259cf03bbc3f58bc6232f2aa6ed70
10001,男声1,4,13.493333,97,136,97.35,0.35,25.156667,48000,1,-18.94,-1.7,-1.67,0,0.113396,0.095833,c7c72391834cf316ff62096b40fabfd25885f5c64280cc4af4e26050c121a65e,cd0dc5eda94c8e95a5b2101d6e0880d0f18aa9faa723ba315b7f525b6b64c0c3,dda5ede83def82a08feae09ae6faf9cef22298ba0360311a7401fecd2db4c53d
10001,男声1,5,18.592,136,180,136.35,0.35,25.058,48000,1,-19.09,-1.4,-1.43,0,0.123958,0.079292,e41458bbb45ee0d24c10b86d5860247b2ab501e2f6df8ac43a8aecc779c070e7,64f1aa0aad61fd4b7830a5f5cab4c09345142b5b942761a67ccb3afc7233122c,bc90b288062c154e393fd966ec1be554d64950380cbeb75f817206dda19cf93c
10000,男声2,1,14.656,0,24,0.35,0.35,8.994,48000,1,-19.51,-2.3,-2.24,0,0.118083,0.112167,7e9c7f3ce211af2eb9d430e8b16b7f296f94b0b5ddd2f858052cb62f5dd14649,332f55563ddc2e3acbbde7f4b181c0d6c0ee1ab2e7cc770283c3285ae8de3399,ff0c0ef62991acd538cbe3e382979420be8641c585a49e5c93faa1c6738eb1bf
10000,男声2,2,19.04,24,65,24.35,0.35,21.61,48000,1,-18.92,-1.2,-1.2,0,0.122896,0.114729,a642a0b13dd7d00b064980dc12d2f063fad6471e08ab614b45e0d66e44fbacbd,0b9cbeba0ce53d4da90556c30e91ea9bfa5e28d45d0a00eb9e4e093d2c319642,7aebb0ff076ab318a3c3148ced477ac9dff9c7fb420a0804c201e7a61aa84e2f
10000,男声2,3,16.042667,65,97,65.35,0.35,15.607333,48000,1,-18.66,-1.4,-1.3,0,0.112354,0.111896,ad4f6496935f729f26eda5b03f325659f7928d4ad8f2bc196271856e24117970,7d90b62f8c7da39c869349efac016e335d2b501c09e02ce7592e504699e280cc,0fb3a7382d3e28e51872f4da917e6ea010a2a9d8db59ce582653b919e08b623a
10000,男声2,4,17.088,97,136,97.35,0.35,21.562,48000,1,-18.79,-1.2,-1.2,0,0.116271,0.107813,1f7c0c99b07857c7b6ce02d054bc7036be5c3c9ccac4551bdbacac7fd56b132f,0c7acb4683b20d9c8189a797850e28df44cf66f32794c7a7b5871ebf0bd49c39,374377988b807026f9aca69f1349fe275923439af114615f6f995f0f3598c0b1
10000,男声2,5,23.818667,136,180,136.35,0.35,19.831333,48000,1,-19.07,-2.7,-2.7,0,0.127292,0.101729,b4963079f3dc8f120d3b94173422106fb3980f3c2acb15d9ed900c016047d010,1b62036ec72c289cbc36c80bd529e5217d8658aa74fb9e24ed0d9152a5f89eb1,cf6fb7285b64cba0ce37fe9aa47120f1c47a86d7425fc3025486866483c28fb7
