boundary_id,outgoing_shot_id,incoming_shot_id,boundary_seconds,transition_type,transition_duration_seconds,outgoing_terminal_frame_sha256,first_transition_frame_sha256,incoming_initial_frame_sha256,boundary_minus_2_sha256,boundary_minus_1_sha256,boundary_at_sha256,boundary_plus_1_sha256,transition_midpoint_frame,transition_midpoint_sha256,outgoing_terminal_source,incoming_initial_source,raw_previous_image_reopened,reset_allowed,position_reset_detected,raw_source_flash_detected,normalized_pixel_difference,perceptual_equivalence_threshold,transition_start_rule,continuity_subject,exact_shot_window_preserved,gap_frames,overlap_frames
boundary-01,shot-b01-01,shot-b01-02,7,short_dissolve,0.45,49bb58a8eb0c2ed11e2d69500807d7154b183a93d0e315cc95ffdbc676ad491c,8b14dabcda38625b9df12c91ee37261600b9dad7a507f27be11655e6ef13c7c5,0d95357db01244f6ed844bd62fd67bef59e1231717a4cae16d92c8f4e27d2f94,87e8fdac38968a1ca8e58f98241f0bb63ca9417d04ed5a8054f9eeaa43199f85,f156b61be5c66415384b9d3f866298e08ad6a3a33852951e08f75880d5cbc9e5,9c8f87ab46d4795d77caf65b802fd9618a40b2b96df248f9a6cc85586dbed01b,3458dd8364f4bc8d13859678cfa9d6913b68f948707fffd9ded58204f8d18edb,216,dea814fd2b6097f56ebd16e3e36424d0e7e6923c27fad7a39bd2c183519f4026,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.008438,0.02,transition_starts_on_actual_outgoing_terminal_frame,駅から塔へ terminal framing → 空いた取付点 initial framing,true,0,0
boundary-02,shot-b01-02,shot-b01-03,14,held_fade,0.55,353d582ffe6c02fc0f24d33edc31762c5881fd1758c9397f4ad84beecb535d11,4ddd61c25cfa48f491b461f9525d0c99d93a60a82c141c2d756f8f9ac75ec41f,993c56ee6f189c2010a231e81bb2aa6a127b4bfbce93796eb14ab64d3a1329b3,b4a2ac0c3aa3b981c33ae3309ee9f0b48e378a9b0c8da6f8f2a39c90e6adf17e,b4a2ac0c3aa3b981c33ae3309ee9f0b48e378a9b0c8da6f8f2a39c90e6adf17e,e2bfd652697bd2a9213813c13c0f8ce727a1fe8e1145e8dbaaa8d3bfc1e40993,fbfe13fea6cab82433894d0ce9ef42fa7923c927f4caf83bdfe00afafc16eb86,428,8e3848e23e3c12960f396edbc2f9ee8cb1780c1ab3d351582089c1920ce7eac8,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.00981,0.02,transition_starts_on_actual_outgoing_terminal_frame,空いた取付点 terminal framing → 空枠と正午標 initial framing,true,0,0
boundary-03,shot-b01-03,shot-b02-01,20,hard_cut,0,a03d093574eb6eb71801f230fbf18c9df45bba8e2ed3342918859f4086a56e14,371f9e3106c017e3c1995d4a9c43a1a7a78d74950c1f2585f92abd92fe705baf,371f9e3106c017e3c1995d4a9c43a1a7a78d74950c1f2585f92abd92fe705baf,834814c5cf27f021106f6bfcde262b74291a92b7b314a979a8603a1c0ec4f9f0,5ac5006f3ad546264566bfa6bdfb675e8f0f0e796013977377ac350958cc9243,eaa9c1ec1eeba39c56babbe03770e728ca17ba66d431d7ba0aaf9ce790b755e5,d08823b51382d678579373defa60d6458cb334b7fb706a17e8ef26b15a985518,600,eaa9c1ec1eeba39c56babbe03770e728ca17ba66d431d7ba0aaf9ce790b755e5,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0,0.02,hard_cut_starts_on_actual_incoming_head,空枠と正午標 terminal framing → 時計修理台の手元 initial framing,true,0,0
boundary-04,shot-b02-01,shot-b02-02,30,match_cut,0.22,766c400077e0b1c32ae11477e4c6ec6bbbf7e751feed459f8dd8261ae145b546,112e16ecfea15f70a4d2a9d2e94898017555d5a46128c7ba51e620670ea0757c,d2b7642f567a1daee521d695f1faab1e5e54a2f5c548fbe03e7724f1d1402b4e,70c76920cc32143f4c9032ad03f43f0c495f39c24f0b322fb0a9d2cbbfbdfc01,70c76920cc32143f4c9032ad03f43f0c495f39c24f0b322fb0a9d2cbbfbdfc01,ac11cf226a7683404b6b8e419ec87e440e2fc6dac14eb58645b914bdeaec115e,88d84b5e9f7bdba7c5f240beaabc7eac38bd1f845b5e6d4aeb38643761e817a1,903,6fc4777c995d2bffe4e293ba83257c50068f1b7e0606ba4dbaede4fe13a57b7a,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.009475,0.02,transition_starts_on_actual_outgoing_terminal_frame,時計修理台の手元 terminal framing → メモと静止した蛾 initial framing,true,0,0
boundary-05,shot-b02-02,shot-b02-03,40,graphic_match,0.3,19f077e4cff4767f6370653da2cb0576ef22ccdf38d23673e8f52a3d66f06e77,f8d9ca928d3cc1dee1aa4824c2ae8e3d2cd52f276afd129b0eba4d09c55e153a,c19fb6d6fb2e59ed5e2d150d34717507a3e2d106a70ace15c7afb9908cab3eef,6973a19fdac8dc25b9b12b094af9dad430e085160b5b645045cf8db660d5ccb6,6973a19fdac8dc25b9b12b094af9dad430e085160b5b645045cf8db660d5ccb6,419ec40c40f378e7a8c96def630e8cb576ffea79b5ca4437f01acd130dca46a0,a7c57691d30acf603e96df78e0585a3aec0aba08be44d00b64e017ea5219e60e,1204,a110f2873f3939090c8825951f867a2b2d84365b53cc8ea3a5a1ba206ba72d1f,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.008758,0.02,transition_starts_on_actual_outgoing_terminal_frame,メモと静止した蛾 terminal framing → 9:17と蛾の反復 initial framing,true,0,0
boundary-06,shot-b02-03,shot-b03-01,50,hard_cut,0,f0759fd057f7345ee35049218f2a6f8e8d6121ade864e508580bb81ccc60ba92,2a3b27539286a4dc222a0427bfc4097e454b6194069bb0a630110b9376c80fec,2a3b27539286a4dc222a0427bfc4097e454b6194069bb0a630110b9376c80fec,ed046e89238b0e31079be5fef6f8666ecd5ba0a0d3d06585a955a3b68d99c646,ed046e89238b0e31079be5fef6f8666ecd5ba0a0d3d06585a955a3b68d99c646,3866f18bc1f0771b489ec16a0d95070ba2cefebe5dd53e14a37b77f0b8b3e104,0d9a4c0196ab5b6cb4207f603bec22064510ae1cc25ee039b9a686d8ded7911b,1500,3866f18bc1f0771b489ec16a0d95070ba2cefebe5dd53e14a37b77f0b8b3e104,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0,0.02,hard_cut_starts_on_actual_incoming_head,9:17と蛾の反復 terminal framing → 台帳を開く手元 initial framing,true,0,0
boundary-07,shot-b03-01,shot-b03-02,60,graphic_match,0.3,515d72f7f7ad4df8b831f26dea0d2be8c28caa2a208a49c4692d6265f5fdeb54,b75bbb541bb731cc5bc80092a352705c60ad5d0b7c667e377518918d0a34c051,9250c7bcbcfcd574f585aa20b0a5ae80ba4bf48656f98e40176e6cdbf99788d9,fefa8f4e02764b7f3b9ce5fbbad10c9576dacaea52be1e29404d232fe5e3647a,fefa8f4e02764b7f3b9ce5fbbad10c9576dacaea52be1e29404d232fe5e3647a,4c8c8d7c03ebc1b7926e8b6611eb0c1bf8d00fbc0dcaf50f8eb764b476f2cd69,c03f5ef9e81ea13167a8b3133e75ea121d7727843730916d7ea5add23caf9509,1804,b012d186a47c3a4f134cebf68c79e8919e41a12607368d60f3eff01f53950e79,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.008793,0.02,transition_starts_on_actual_outgoing_terminal_frame,台帳を開く手元 terminal framing → 架空の二列台帳 initial framing,true,0,0
boundary-08,shot-b03-02,shot-b03-03,70,short_dissolve,0.45,82f82617b1914c9ffa01581af82d74090695b3e9276339eb8528b15ecc25c9aa,448429323578f1d19f7d148bc7ce8d6bee33504e42df89c9b696f28acfc74809,a991f05c0ee77f7542a65e1ec17180df7afadf1ccf1da46e32b37260bba0e0b6,e286760ea6f6c29ee62706f0d7e1a364670959f139bb5f885cba8a2b354f3f2d,e286760ea6f6c29ee62706f0d7e1a364670959f139bb5f885cba8a2b354f3f2d,99e6a0c4e15f2513ebc62118bbeb674cbd2a32da4079dd6c92b5eb6efb83f026,ceed84c8423448ce3b887f5452f52a912cbcf9a421206bcc0d4c3c8979e2a0fa,2106,f02be4cfd301f5fc9ed87fa356d5f63ee58e9b19237d1b3afc40d030a25e78fb,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.007939,0.02,transition_starts_on_actual_outgoing_terminal_frame,架空の二列台帳 terminal framing → 輪郭が薄れる三段階 initial framing,true,0,0
boundary-09,shot-b03-03,shot-b04-01,80,hard_cut,0,ed77e1e6742336f4265160e7794a0adc8a09af30fa245a6291b1b3330407fad3,c80f6b444af4b88af69f16c32c70438b8c354d3f40bb634e45a4613ac3674f6a,c80f6b444af4b88af69f16c32c70438b8c354d3f40bb634e45a4613ac3674f6a,bcef4ee21c9a40bbd259f464b71d9c28fcaeb1772bc28b97e8e3f9a24d8a15c0,4c6599cf2926cab56ccf5aa91e0d59175e5f622f3776b8bbaec7e5562e72d09f,9ec5db323ed16777c57b8c7caa7d4004a1a80aca4e47b48e198754fef2705130,ec8b4f47c02c6bd01d2ae9a6d7060e5dfb41f1d586fe7a4abeced6b2e978f1e9,2400,9ec5db323ed16777c57b8c7caa7d4004a1a80aca4e47b48e198754fef2705130,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0,0.02,hard_cut_starts_on_actual_incoming_head,輪郭が薄れる三段階 terminal framing → 仕切りの向こう initial framing,true,0,0
boundary-10,shot-b04-01,shot-b04-02,88,graphic_match,0.3,430adf3bdf2f4166e6e56164571de59045e90301dc4306c776a8bdb028940e17,b091e323673a3b4bb35a46773c666f23ff71fcdd43ac7044af0bf8c700e5a8cd,684799ab965fe253b48da0d1e164f5c09f484cdbfb4f5cd47e796c34cd041a42,7a8a57e86338a29e0581966b13ef345d9d2367446455420c0ef8264b5d539c83,7a8a57e86338a29e0581966b13ef345d9d2367446455420c0ef8264b5d539c83,4af57b9f164c7e4df7adf626f802ed5713dc8e978c01d644dabf95a4d3b681f1,5efe46c61c2b9f73c2efd3d4db0f044d03c5204e6e863a2d7a6cd534bc0105a1,2644,4d253b47ca97123db48fa786fe40757d7c79ef94d0339f00cf08cb7d733d9e64,rendered_outgoing_final_clip_terminal_frame,rendered_incoming_base_clip_head,false,false,false,false,0.007443,0.02,transition_starts_on_actual_outgoing_terminal_frame,仕切りの向こう terminal framing → 同じ重さの二説 initial framing,true,0,0
