shot_id,requirement_id,variant_id,output_path,sha256,deterministic_local_original,selected_for_production,rights_cleared_claim
shot-b01-03,AR-TYPE-01,noon-marker,artifacts/private-materialized-motion-previs/materials/AR-TYPE-01/noon-marker.png,a1cad7cce705953d4048f46851d27323e09ca344420e867b4e77cf46e019b264,true,false,false
shot-b02-01,AR-PROP-01,repair-module,artifacts/private-materialized-motion-previs/materials/AR-PROP-01/repair-module.png,af513f5d718ecbfdf44c20c3a6423042a4ca01d0f9804d447c0237f12a46cc2e,true,false,false
shot-b02-02,AR-PROP-03,memo-unverified,artifacts/private-materialized-motion-previs/materials/AR-PROP-03/memo-unverified.png,99b370f18339280f6979354ff541a34e4677857c758369c9b2da341b56634d87,true,false,false
shot-b02-03,AR-PROP-01,time-0917,artifacts/private-materialized-motion-previs/materials/AR-PROP-01/time-0917.png,04803a4477d2abd3f1d9cd5b864b80c511f7b5d17b37ed58e7f88abf7332e8ba,true,false,false
shot-b03-01,AR-DOC-01,ledger-opening,artifacts/private-materialized-motion-previs/materials/AR-DOC-01/ledger-opening.png,dfff0a1ed5516e4faa408e688e36ef387457a7a991f19ca9456e9c49956697d1,true,false,false
shot-b03-02,AR-DOC-01,ledger-two-column,artifacts/private-materialized-motion-previs/materials/AR-DOC-01/ledger-two-column.png,ced932a7ee1b6558c84b8b3b2b1a488cbbaa39ee266001518b0e041a4f5d1cc9,true,false,false
shot-b03-02,AR-TYPE-01,ledger-labels,artifacts/private-materialized-motion-previs/materials/AR-TYPE-01/ledger-labels.png,3b76ca89dd718080de2dc99e5e82f6571beee59514e43a6279c96da115af5ed4,true,false,false
shot-b03-03,AR-ABS-01,name-full,artifacts/private-materialized-motion-previs/materials/AR-ABS-01/name-full.png,05b3721a90820f4701769b169f18267a3a19c049c4188dab93edc05d353f5b00,true,false,false
shot-b03-03,AR-ABS-01,name-fade,artifacts/private-materialized-motion-previs/materials/AR-ABS-01/name-fade.png,2fa98258387d85b2e69490112a8270873912b05337e6c5a52271420635bcf526,true,false,false
shot-b03-03,AR-ABS-01,name-fragment,artifacts/private-materialized-motion-previs/materials/AR-ABS-01/name-fragment.png,4c376a6c46719325168249047d175e8d7e4b3cf844438c2f88021b0e5ce9991d,true,false,false
shot-b04-01,AR-CHAR-02,council-neutral,artifacts/private-materialized-motion-previs/materials/AR-CHAR-02/council-neutral.png,9b993fde9a5a5961d4d1fe8de5e982c9c1484291c261fc549f5cf1a7bc27be33,true,false,false
shot-b04-02,AR-DOC-02,equal-hypotheses,artifacts/private-materialized-motion-previs/materials/AR-DOC-02/equal-hypotheses.png,fa60e2755e631facd3fe59caa4d62b88c416a613ca0036454031b5e844f7e6d7,true,false,false
shot-b04-02,AR-TYPE-01,hypothesis-labels,artifacts/private-materialized-motion-previs/materials/AR-TYPE-01/hypothesis-labels.png,5ffa10eec5b6ed01d80c13a60851b9df4d7b4d0dd113e289fa59e2c54a73ba84,true,false,false
shot-b04-03,AR-DOC-01,ledger-institution-shadow,artifacts/private-materialized-motion-previs/materials/AR-DOC-01/ledger-institution-shadow.png,3767254260eba9b450a51366959e75cca7c06f6c21a9ff5a669b2014fa4578fd,true,false,false
shot-b04-03,AR-TYPE-01,unknown-motive,artifacts/private-materialized-motion-previs/materials/AR-TYPE-01/unknown-motive.png,be6b023cdaac9586c72bc83ed3ae16e8181932b8ca5cebd7531ab888453357f1,true,false,false
shot-b05-01,AR-CHAR-03,toma-unresolved,artifacts/private-materialized-motion-previs/materials/AR-CHAR-03/toma-unresolved.png,4a49d11f6dfea93b381178dcc132c9e1f7630082765576289a77394726804cf6,true,false,false
shot-b05-01,AR-DOC-02,toma-fates,artifacts/private-materialized-motion-previs/materials/AR-DOC-02/toma-fates.png,a0600ddca300e6622bed70750cf77601b0b2ee1e1c26fee4135c611745d7a9a8,true,false,false
shot-b05-02,AR-DOC-02,moth-functions,artifacts/private-materialized-motion-previs/materials/AR-DOC-02/moth-functions.png,53b95aaae2c4eaae9841490298f793ad5ed4407746a8440f3fff5de168586cdd,true,false,false
