sequence,shot_id,start_seconds,end_seconds,duration_seconds,image_path,sha256,source_kind,motion,transition,exact_anchor,owner_accepted_primary_image
1,shot-b01-01,0,12,12,artifacts/private-full-raster-candidate/images/base/shot-b01-01.jpg,02d383985abb9da03411f8e82db0f7bf98b6514fe49b13f163be44149cfe079e,generated_raster,slow_push,hard_cut,false,true
2,shot-b01-02,12,24,12,artifacts/private-full-raster-candidate/images/base/shot-b01-02.jpg,bd252485bbdb15d4d0ac722f36005e80c534e5e72b79d9a03233fb2cbd9a9c23,generated_raster,locked,short_dissolve,false,true
3,shot-b02-01,24,38,14,artifacts/private-full-raster-candidate/images/base/shot-b02-01.jpg,a53cdb8c0077615fb2005b03e26b5f7cd0400ad70d113d0a1673a578da246304,generated_raster,slow_pan,hard_cut,false,true
4,shot-b02-02,38,52,14,artifacts/private-full-raster-candidate/images/base/shot-b02-02.jpg,f9a668fd9fea3dc897caa2b41a3ca97e334dd4e7c2ca6047e160bfc76c6bba09,generated_raster,locked,match_cut,false,true
5,shot-b02-03,52,65,13,artifacts/high-fidelity-raster-pilot/images/shot-b02-03.jpg,5a2b371948dfeed3e15cbdcd81ec4de48e2d4f4db429bbea3ee021c9f74f1c31,accepted_generated_raster_anchor,controlled_parallax,graphic_match,true,true
6,shot-b03-01,65,81,16,artifacts/private-full-raster-candidate/images/base/shot-b03-01.jpg,4dd4f97732892c79b97590a20a90e03a4dbd1350330c31cfdf499f1a45060839,generated_raster,slow_push,hard_cut,false,true
7,shot-b03-02,81,97,16,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,02aaff8818dbbd2bcc39d2943f38a369018b03a74f9d273eee406c93656da460,generated_raster,locked,graphic_match,false,true
8,shot-b04-01,97,116,19,artifacts/high-fidelity-raster-pilot/images/shot-b04-01.jpg,ec774118a012db4f70ee138ba0e4f8107e8abfdd98f8fb006a95c7e409b4c8d1,accepted_generated_raster_anchor,slow_push,hard_cut,true,true
9,shot-b04-02,116,136,20,artifacts/private-full-raster-candidate/images/base/shot-b04-02.jpg,a0d854fe6a39523aad612216f3205c312de9a9a8129bd472023e97206b662ddf,generated_raster,locked,graphic_match,false,true
10,shot-b06-01,136,158,22,artifacts/private-full-raster-candidate/images/final/shot-b06-01.jpg,3adae460a12c3a5d6dbd1a73c78b0f2078acc8105419e15e41441b84383259ed,deterministic_raster_composite,locked,hard_cut,false,true
11,shot-b06-03,158,180,22,artifacts/private-full-raster-candidate/images/final/shot-b06-03.jpg,016a02f3749f1d12331cf146683a57049e85019af604bf337cc0fcac2712d3d6,deterministic_raster_composite,slow_pull,held_fade,false,true
