boundary_id,outgoing_shot_id,incoming_shot_id,boundary_seconds,transition_type,transition_duration_seconds,outgoing_terminal_frame_sha256,incoming_base_initial_frame_sha256,first_final_clip_frame_sha256,outgoing_terminal_source,raw_outgoing_source_reopened,normalized_pixel_difference,reset_threshold,position_reset_detected,raw_source_flash_detected,gap_frames,overlap_frames
case-digest-boundary-01,shot-b01-01,shot-b01-02,12,short_dissolve,0.45,fc0b7b6d04d26a80bbb769c6bce7f610c7a0d36f79d7fc776ba3da39b7f102e9,0d95357db01244f6ed844bd62fd67bef59e1231717a4cae16d92c8f4e27d2f94,3efa61310d6ab3e8a1f955c7dfa3306e65f3d63dfa09550cc0d71cc82f1a6b9b,rendered_outgoing_final_clip_terminal_frame,false,0.008454,0.02,false,false,0,0
case-digest-boundary-02,shot-b01-02,shot-b02-01,24,hard_cut,0,353d582ffe6c02fc0f24d33edc31762c5881fd1758c9397f4ad84beecb535d11,653a532e0c72bcf4f380664e69346c5971444479e685e7bd991f0b19960a6db4,653a532e0c72bcf4f380664e69346c5971444479e685e7bd991f0b19960a6db4,rendered_outgoing_final_clip_terminal_frame,false,0,0.02,false,false,0,0
case-digest-boundary-03,shot-b02-01,shot-b02-02,38,match_cut,0.22,9a20e903e50f1d3ce9122ef48d6d992e3e36bb45f8cfe6a34cd876b3efe275ad,d2b7642f567a1daee521d695f1faab1e5e54a2f5c548fbe03e7724f1d1402b4e,6821a5bddbd72b07f229025106d3793c7327b5ff533261718dad33eb619e0bc5,rendered_outgoing_final_clip_terminal_frame,false,0.009431,0.02,false,false,0,0
case-digest-boundary-04,shot-b02-02,shot-b02-03,52,graphic_match,0.3,19f077e4cff4767f6370653da2cb0576ef22ccdf38d23673e8f52a3d66f06e77,cd139d71dc0252c418d53a4e0a6f7e1ea137188c45718cab910f7255a45db6ce,ceb76752c07708d900e4fdddc592e398cad80219a5781c422b8c8583b7237d9f,rendered_outgoing_final_clip_terminal_frame,false,0.008745,0.02,false,false,0,0
case-digest-boundary-05,shot-b02-03,shot-b03-01,65,hard_cut,0,c326814623b80a6cf60c84423c37cdb461eb404a8ba4724463571c4a95397cd1,1d97ab3d661fb7b7188763c782d85d272ba4d9c86f490dc9043383868499878b,1d97ab3d661fb7b7188763c782d85d272ba4d9c86f490dc9043383868499878b,rendered_outgoing_final_clip_terminal_frame,false,0,0.02,false,false,0,0
case-digest-boundary-06,shot-b03-01,shot-b03-02,81,graphic_match,0.3,90ff8b60ecac16bc9a74dfe67067c4e78122b464f0aedd2ac3f19a37841c4476,9250c7bcbcfcd574f585aa20b0a5ae80ba4bf48656f98e40176e6cdbf99788d9,465900970251e654b997a680592ca37f904ec42802db829ce1d6ac8eb36f2612,rendered_outgoing_final_clip_terminal_frame,false,0.008838,0.02,false,false,0,0
case-digest-boundary-07,shot-b03-02,shot-b04-01,97,hard_cut,0,82f82617b1914c9ffa01581af82d74090695b3e9276339eb8528b15ecc25c9aa,15a915088e3387735b193e4ec0efabd276c4dfbd1c5cbd2d31b5388df1e18405,15a915088e3387735b193e4ec0efabd276c4dfbd1c5cbd2d31b5388df1e18405,rendered_outgoing_final_clip_terminal_frame,false,0,0.02,false,false,0,0
case-digest-boundary-08,shot-b04-01,shot-b04-02,116,graphic_match,0.3,fc0382384f0d762c124c339b0b33fb1e0d4f0d16694da0a0f965338a8988d439,684799ab965fe253b48da0d1e164f5c09f484cdbfb4f5cd47e796c34cd041a42,08b95a41fca5a6394a200b3088c85937f989c3d9c13a9d6b8468f6e750965fa1,rendered_outgoing_final_clip_terminal_frame,false,0.007554,0.02,false,false,0,0
case-digest-boundary-09,shot-b04-02,shot-b06-01,136,hard_cut,0,33c35bf816f4bdea6e96db33c181d467f8cf1d9464caa2d02f1ff77322f93065,f90017d8bf1b1a4f4addef1a28c188fa06f01a23c7740a0ce546ad925f4a9124,f90017d8bf1b1a4f4addef1a28c188fa06f01a23c7740a0ce546ad925f4a9124,rendered_outgoing_final_clip_terminal_frame,false,0,0.02,false,false,0,0
case-digest-boundary-10,shot-b06-01,shot-b06-03,158,held_fade,0.55,3df1407e20572b08bb1091e38acb7fde3e9108ac7848d2ba072ee74035d61d2e,8be2464c9b630f8a409bf4496b8641e55a39b4cd4db0d4f3566d93533a698ee1,c50d0080cc5aff8e12b4a22c71a312cc2e9da3ec1dd4ab9eef260b74c7f56e70,rendered_outgoing_final_clip_terminal_frame,false,0.00859,0.02,false,false,0,0
